time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,test_loss,r2_score,train_ration
2026-09-04 13:31:21,multi_repeat_random_states.py,"(1021, 9)",494,sequential_158,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_158,50,256,2.2452,152783.90625,6100.41748046875,6149.8681640625,0.15476415541390987,0.7
2026-09-04 13:31:22,multi_repeat_random_states.py,"(1021, 9)",410,sequential_158,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_158,50,256,1.4951,2958.15185546875,3344.8330078125,3355.68408203125,0.5108080348691156,0.7
2026-09-04 13:31:23,multi_repeat_random_states.py,"(1021, 9)",494,sequential_158,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_158,50,256,1.5136,6078.8349609375,3875.4697265625,4162.15673828125,0.427954606719806,0.7
2026-09-04 13:31:24,multi_repeat_random_states.py,"(1021, 9)",494,sequential_158,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_158,50,256,1.4973,3714.185546875,2826.452392578125,3015.34814453125,0.5855715529570591,0.7
2026-09-04 13:31:25,multi_repeat_random_states.py,"(1021, 9)",327,sequential_159,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_159,50,256,3.8365,26581.849609375,3643.5068359375,3409.32763671875,0.49759669917701077,0.7
2026-09-04 13:31:27,multi_repeat_random_states.py,"(1021, 9)",411,sequential_159,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_159,50,256,3.8022,29201.2734375,3505.33349609375,2978.866455078125,0.5701225906320002,0.7
2026-09-04 13:31:27,multi_repeat_random_states.py,"(1021, 9)",327,sequential_159,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_159,50,256,1.4574,3485.656494140625,2930.53515625,2763.291748046875,0.592797439403566,0.7
2026-09-04 13:31:28,multi_repeat_random_states.py,"(1021, 9)",411,sequential_159,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_159,50,256,1.4396,3454.323974609375,3451.4404296875,3386.295166015625,0.5113269207851423,0.7
2026-09-04 13:31:28,multi_repeat_random_states.py,"(1021, 9)",327,sequential_159,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_159,50,256,1.4489,2968.671875,3044.757568359375,3401.015625,0.4988215267741526,0.7
2026-09-04 13:31:28,multi_repeat_random_states.py,"(1021, 9)",495,sequential_159,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_159,50,256,3.7475,112645.078125,5053.82763671875,5876.6162109375,0.19963051873891513,0.7
