time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first loss,last loss,test_loss,r2_score,train_ration
2026-09-04 12:50:28,multi_repeat_random_states.py,"(1021, 9)",633,sequential_213,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_213,50,256,1.42,3143.96484375,3070.193359375,3304.79345703125,0.5417057925098133,0.7
2026-09-04 12:50:28,multi_repeat_random_states.py,"(1021, 9)",550,sequential_214,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_214,50,256,2.2528,38679.33984375,3576.7734375,3584.24267578125,0.4971709029049959,0.7
2026-09-04 12:50:29,multi_repeat_random_states.py,"(1021, 9)",717,sequential_213,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_213,50,256,1.4361,3458.46533203125,2958.730712890625,2697.66455078125,0.5831456101582695,0.7
2026-09-04 12:50:29,multi_repeat_random_states.py,"(1021, 9)",550,sequential_214,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_214,50,256,1.4461,3673.282958984375,3070.435546875,3111.518310546875,0.5634888355047261,0.7
2026-09-04 12:50:30,multi_repeat_random_states.py,"(1021, 9)",634,sequential_214,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_214,50,256,2.2301,28493.515625,3342.49072265625,3421.07958984375,0.513574345648917,0.7
2026-09-04 12:50:30,multi_repeat_random_states.py,"(1021, 9)",717,sequential_213,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_213,50,256,1.4081,2941.054443359375,3579.951171875,3981.74658203125,0.384723860926517,0.7
2026-09-04 12:50:31,multi_repeat_random_states.py,"(1021, 9)",550,sequential_214,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_214,50,256,1.4046,3029.4853515625,3697.947265625,2917.68212890625,0.5906818834965374,0.7
2026-09-04 12:50:32,multi_repeat_random_states.py,"(1021, 9)",634,sequential_214,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_214,50,256,1.4297,3399.072509765625,2787.594482421875,3139.638916015625,0.5535909807196802,0.7
2026-09-04 12:50:33,multi_repeat_random_states.py,"(1021, 9)",718,sequential_214,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_214,50,256,2.2677,34150.60546875,3944.765380859375,3941.47705078125,0.396872160608029,0.7
2026-09-04 12:50:33,multi_repeat_random_states.py,"(1021, 9)",634,sequential_214,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_214,50,256,1.4487,2851.438232421875,2823.75439453125,3357.270751953125,0.5226469986821641,0.7
2026-09-04 12:50:33,multi_repeat_random_states.py,"(1021, 9)",551,sequential_215,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_215,50,256,2.2586,181182.046875,6009.279296875,6488.33984375,0.07667428214113892,0.7
2026-09-04 12:50:34,multi_repeat_random_states.py,"(1021, 9)",718,sequential_214,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_214,50,256,1.3957,4086.874755859375,3077.732177734375,2788.56103515625,0.5732922253531791,0.7
2026-09-04 12:50:35,multi_repeat_random_states.py,"(1021, 9)",551,sequential_215,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_215,50,256,1.4133,5997.8271484375,4301.2392578125,4526.66259765625,0.3558315380747331,0.7
2026-09-04 12:50:36,multi_repeat_random_states.py,"(1021, 9)",635,sequential_215,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_215,50,256,2.2778,19381.6953125,3188.980712890625,2956.796142578125,0.555608659639294,0.7
2026-09-04 12:50:36,multi_repeat_random_states.py,"(1021, 9)",718,sequential_214,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_214,50,256,1.4071,3032.3916015625,2946.598388671875,2699.537353515625,0.5869146907639122,0.7
2026-09-04 12:50:36,multi_repeat_random_states.py,"(1021, 9)",551,sequential_215,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_215,50,256,1.4072,4242.849609375,2796.88818359375,2986.949462890625,0.5749409666274776,0.7
2026-09-04 12:50:37,multi_repeat_random_states.py,"(1021, 9)",635,sequential_215,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_215,50,256,1.4067,3150.794677734375,2945.65185546875,2819.7265625,0.5762095085459805,0.7
2026-09-04 12:50:38,multi_repeat_random_states.py,"(1021, 9)",719,sequential_215,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_215,50,256,2.2532,60592.9140625,5478.43994140625,5310.861328125,0.2281999580907519,0.7
2026-09-04 12:50:39,multi_repeat_random_states.py,"(1021, 9)",552,sequential_216,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_216,50,256,2.2639,262543.375,6090.91064453125,5339.88818359375,0.1770210658388115,0.7
2026-09-04 12:50:39,multi_repeat_random_states.py,"(1021, 9)",635,sequential_215,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_215,50,256,1.477,2996.6240234375,2937.8369140625,2599.396484375,0.6093240623249763,0.7
2026-09-04 12:50:40,multi_repeat_random_states.py,"(1021, 9)",719,sequential_215,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_215,50,256,1.404,5415.68408203125,3523.421630859375,3285.53271484375,0.5225304761456221,0.7
2026-09-04 12:50:40,multi_repeat_random_states.py,"(1021, 9)",552,sequential_216,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_216,50,256,1.4323,6045.15283203125,3518.31005859375,2905.63818359375,0.5521856058316537,0.7
2026-09-04 12:50:41,multi_repeat_random_states.py,"(1021, 9)",636,sequential_216,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_216,50,256,2.2562,109938.046875,5700.67138671875,4829.7646484375,0.17707960461099326,0.7
2026-09-04 12:50:41,multi_repeat_random_states.py,"(1021, 9)",719,sequential_215,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_215,50,256,1.403,3235.423583984375,3200.50537109375,2942.128662109375,0.5724355646240282,0.7
2026-09-04 12:50:42,multi_repeat_random_states.py,"(1021, 9)",552,sequential_216,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_216,50,256,1.4117,3471.067138671875,2985.20654296875,2447.85791015625,0.6227382776045034,0.7
2026-09-04 12:50:43,multi_repeat_random_states.py,"(1021, 9)",636,sequential_216,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_216,50,256,1.4105,5644.2685546875,3239.5068359375,3164.902099609375,0.4607475181473223,0.7
2026-09-04 12:50:44,multi_repeat_random_states.py,"(1021, 9)",720,sequential_216,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_216,50,256,2.2447,30360.85546875,3181.2568359375,3059.501708984375,0.5467485140208654,0.7
2026-09-04 12:50:44,multi_repeat_random_states.py,"(1021, 9)",553,sequential_217,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_217,50,256,2.2606,36480.12109375,4202.7919921875,4284.10302734375,0.3511263175385345,0.7
2026-09-04 12:50:45,multi_repeat_random_states.py,"(1021, 9)",636,sequential_216,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_216,50,256,1.4024,3118.468505859375,2895.27685546875,3068.61767578125,0.4771529568554925,0.7
2026-09-04 12:50:46,multi_repeat_random_states.py,"(1021, 9)",720,sequential_216,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_216,50,256,1.4196,3399.2099609375,3317.255126953125,2744.11962890625,0.5934709778598832,0.7
2026-09-04 12:50:46,multi_repeat_random_states.py,"(1021, 9)",553,sequential_217,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_217,50,256,1.3843,4113.673828125,2902.60205078125,3111.130615234375,0.5287856098204816,0.7
2026-09-04 12:50:47,multi_repeat_random_states.py,"(1021, 9)",637,sequential_217,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_217,50,256,2.252,34999.8046875,3285.00341796875,3125.662353515625,0.5422913769852753,0.7
2026-09-04 12:50:47,multi_repeat_random_states.py,"(1021, 9)",720,sequential_216,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_216,50,256,1.4834,2908.594482421875,3197.427490234375,2898.322509765625,0.5706265110262068,0.7
2026-09-04 12:50:47,multi_repeat_random_states.py,"(1021, 9)",553,sequential_217,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_217,50,256,1.429,2944.311767578125,3002.266357421875,3386.164306640625,0.48712882745476604,0.7
2026-09-04 12:50:49,multi_repeat_random_states.py,"(1021, 9)",637,sequential_217,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_217,50,256,1.3809,3353.613037109375,2974.41796875,2938.1708984375,0.5697468190577795,0.7
2026-09-04 12:50:50,multi_repeat_random_states.py,"(1021, 9)",721,sequential_217,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_217,50,256,2.2361,35594.28515625,4030.7763671875,4244.34912109375,0.35987959062818475,0.7
2026-09-04 12:50:50,multi_repeat_random_states.py,"(1021, 9)",554,sequential_218,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_218,50,256,2.234,38088.38671875,5560.16796875,5170.310546875,0.19291856698289012,0.7
2026-09-04 12:50:50,multi_repeat_random_states.py,"(1021, 9)",637,sequential_217,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_217,50,256,1.4746,2819.849365234375,2981.0556640625,2917.80029296875,0.5727298332583657,0.7
2026-09-04 12:50:51,multi_repeat_random_states.py,"(1021, 9)",721,sequential_217,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_217,50,256,1.3925,4310.52783203125,2978.7724609375,2967.872314453125,0.5523940974700574,0.7
2026-09-04 12:50:51,multi_repeat_random_states.py,"(1021, 9)",554,sequential_218,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_218,50,256,1.398,5522.26220703125,2909.82763671875,2916.481201171875,0.5447396567249723,0.7
2026-09-04 12:50:53,multi_repeat_random_states.py,"(1021, 9)",638,sequential_218,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_218,50,256,2.3014,66845.6640625,5302.61376953125,5211.03173828125,0.22326231357352133,0.7
2026-09-04 12:50:53,multi_repeat_random_states.py,"(1021, 9)",721,sequential_217,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_217,50,256,1.4653,3015.31689453125,2896.06494140625,3073.613037109375,0.5364466009158348,0.7
